form	lemma	POS	morph
suspensum	suspendo	VER	Case=Acc|Numb=Sing|Gend=MascNeut|Deg=Pos|Mood=Par|Tense=Perf|Voice=Pass
in	in	PRE	MORPH=empty
lævo	laeuus	ADJqua	Case=Abl|Numb=Sing|Gend=MascNeut|Deg=Pos
bracchio	brachium	NOMcom	Case=Abl|Numb=Sing
ostendo	ostendo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
ungulum	unguleus	NOMcom	Case=Acc|Numb=Sing
Quid	quis1	PROint	Case=Nom|Numb=Sing|Gend=Neut
istuc	istic1	PROdem	Case=Nom|Numb=Sing|Gend=Neut
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
?	?	PUNC	MORPH=empty
Vultum	uultus	NOMcom	Case=Acc|Numb=Sing
alligat	alligo2	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
quæ	qui1	PROrel	Case=Nom|Numb=Sing|Gend=Fem
tristitas	tristitas	VER	Case=Acc|Numb=Plur|Gend=Fem
?	?	PUNC	MORPH=empty
Mi	ego	PROper	Case=Voc|Numb=Sing|Gend=Masc
gnate	natus1	NOMcom	Case=Voc|Numb=Sing
,	,	PUNC	MORPH=empty
ut	ut1	ADVrel	MORPH=empty
vereor	uereor	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=1
!	!	PUNC	MORPH=empty
eloqui	eloquor	VER	Mood=Inf|Tense=Pres|Voice=Dep
,	,	PUNC	MORPH=empty
porcet	porceo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
pudor	pudor	NOMcom	Case=Nom|Numb=Sing
concertare	concerto1	VER	Mood=Inf|Tense=Pres|Voice=Act
ac	ac1	CONcoo	MORPH=empty
dissentire	dissentio	VER	Mood=Inf|Tense=Pres|Voice=Act
partim	partim	ADV	Deg=Pos
ac	ac1	CONcoo	MORPH=empty
da	do	VER	Numb=Sing|Mood=Imp|Tense=Pres|Voice=Act|Person=2
rursum	rursus	ADV	Deg=Pos
æquiter	aequiter	ADV	Deg=Pos
nam	nam	CONcoo	MORPH=empty
quod	qui1	PROrel	Case=Acc|Numb=Sing|Gend=Neut
conabar	conor	VER	Numb=Sing|Mood=Ind|Tense=Impa|Voice=Dep|Person=1
,	,	PUNC	MORPH=empty
cum	cum3	CONsub	MORPH=empty
interventum	interuentum	NOMcom	Case=Nom|Numb=Sing
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
dicere	dico2	VER	Mood=Inf|Tense=Pres|Voice=Act
,	,	PUNC	MORPH=empty
nunc	nunc	ADV	Deg=Pos
expedibo	expedio	VER	Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=1
ubi	ubi3	CONsub	MORPH=empty
ego	ego	PROper	Case=Nom|Numb=Sing
me	ego	PROper	Case=Acc|Numb=Sing
gravidam	grauidus	ADJqua	Case=Acc|Numb=Sing|Gend=Fem|Deg=Pos
sentio	sentio	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
adgravescere	aggrauesco	VER	Mood=Inf|Tense=Pres|Voice=Act
propinquitate	propinquitas	NOMcom	Case=Abl|Numb=Sing
parti	pars	NOMcom	Case=Dat|Numb=Sing
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
cum	cum3	CONsub	MORPH=empty
incultos	incultus2	ADJqua	Case=Acc|Numb=Plur|Gend=Masc|Deg=Pos
pervestigans	peruestigo	VER	Case=Nom|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Act
rimarem	rimor	VER	Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=1
sinus	sinus	NOMcom	Case=Acc|Numb=Plur
semper	semper	ADV	Deg=Pos
sat	satis2	ADV	Case=Ind|Deg=Pos
agere	ago	VER	Mood=Inf|Tense=Pres|Voice=Act
ut	ut4	CONsub	MORPH=empty
ne	ne4	CONsub	MORPH=empty
in	in	PRE	MORPH=empty
amore	amor	NOMcom	Case=Abl|Numb=Sing
animum	animus	NOMcom	Case=Acc|Numb=Sing
occupes	occupo2	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=2
quas	qui1	PROrel	Case=Acc|Numb=Plur|Gend=Fem
famulitas	famulitas	NOMcom	Case=Nom|Numb=Sing
,	,	PUNC	MORPH=empty
vis	uis	NOMcom	Case=Nom|Numb=Sing
,	,	PUNC	MORPH=empty
egestas	egestas	NOMcom	Case=Nom|Numb=Sing
,	,	PUNC	MORPH=empty
fama	fama	NOMcom	Case=Nom|Numb=Sing
,	,	PUNC	MORPH=empty
formido	formido1	NOMcom	Case=Nom|Numb=Sing
,	,	PUNC	MORPH=empty
pavor	pauor	NOMcom	Case=Nom|Numb=Sing
Tegea	Tegea	NOMpro	Case=Abl|Numb=Sing
Arcadiæ	Arcadia	NOMpro	Case=Gen|Numb=Sing
civitas	ciuitas	NOMcom	Case=Nom|Numb=Sing
†	†	PUNC	MORPH=empty
calumina	calumen	NOMcom	Case=Nom|Numb=Plur
†	†	PUNC	MORPH=empty
antiquum	antiquus	ADJqua	Case=Acc|Numb=Sing|Gend=MascNeut|Deg=Pos
oppidum	oppidum	NOMcom	Case=Acc|Numb=Sing
triplicem	triplex	ADJqua	Case=Acc|Numb=Sing|Gend=MascFem|Deg=Pos
virili	uirilis	ADJqua	Case=Abl|Numb=Sing|Gend=Com|Deg=Pos
sexu	sexus	NOMcom	Case=Abl|Numb=Sing
partum	pario2	VER	Case=Acc|Numb=Sing|Gend=MascNeut
procreat	procreo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
mortem	mors	NOMcom	Case=Acc|Numb=Sing
ostentant	ostento	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
regno	regnum	NOMcom	Case=Abl|Numb=Sing
expellunt	expello	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
consanguineam	consanguineus2	ADJqua	Case=Acc|Numb=Sing|Gend=Fem|Deg=Pos
esse	sum1	VER	Mood=Inf|Tense=Pres|Voice=Act
abdicant	abdico1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
†	†	PUNC	MORPH=empty
regi	rex	NOMcom	Case=Dat|Numb=Sing
ut	ut1	ADVrel	MORPH=empty
memorabis	memoro	VER	Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=2
†	†	PUNC	MORPH=empty
nunc	nunc	ADV	Deg=Pos
regnum	regnum	NOMcom	Case=Acc|Numb=Sing
potitur	potior	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=3
transmissu	transmissus	NOMcom	Case=Abl|Numb=Sing
patris	pater	NOMcom	Case=Gen|Numb=Sing
omnes	omnis	PROind	Case=Nom|Numb=Plur|Gend=MascFem
,	,	PUNC	MORPH=empty
qui	qui1	PROrel	Case=Nom|Numb=Plur|Gend=Masc
tamquam	tamquam1	ADVrel	MORPH=empty
nos	nos	PROper	Case=Nom|Numb=Plur
serviunt	seruio	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
sub	sub	PRE	MORPH=empty
regno	regnum	NOMcom	Case=Abl|Numb=Sing
,	,	PUNC	MORPH=empty
callent	calleo	VER	Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
domiti	domo	VER	Case=Gen|Numb=Plur|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass
imperium	imperium	NOMcom	Case=Acc|Numb=Sing
metuere	metuo	VER	Mood=Inf|Tense=Pres|Voice=Act
æsti	aestus	NOMcom	Case=Gen|Numb=Sing
forte	forte	ADV	Deg=Pos
ex	ex	PRE	MORPH=empty
arido	aridus	ADJqua	Case=Abl|Numb=Sing|Deg=Pos
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
interea	interea	ADV	Deg=Pos
loci	locus	NOMcom	Case=Gen|Numb=Plur
flucti	fluco	NOMcom	Case=Nom|Numb=Plur|Gend=Masc
flaccescunt	flaccesco	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
silescunt	silesco	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
venti	uentus	NOMcom	Case=Nom|Numb=Plur
mollitur	mollio	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
mare	mare	NOMcom	Case=Nom|Numb=Sing
idæ	Ida	NOMpro	Case=Gen|Numb=Sing
promunturium	promontorium	NOMcom	Case=Acc|Numb=Sing
quoius	qui1	PROrel	Case=Gen|Numb=Sing|Gend=Com
lingua	lingua	NOMcom	Case=Abl|Numb=Sing
in	in	PRE	MORPH=empty
altum	altum	NOMcom	Case=Acc|Numb=Sing
proicit	proicio	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
incipio	incipio	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
saxum	saxum	NOMcom	Case=Acc|Numb=Sing
temptans	tento	VER	Case=Nom|Numb=Sing|Gend=MascFem|Mood=Par|Tense=Pres|Voice=Act
scandere	scando	VER	Mood=Inf|Tense=Pres|Voice=Act
vorticem	uertex	NOMcom	Case=Acc|Numb=Sing
,	,	PUNC	MORPH=empty
summum	superus	ADJqua	Case=Acc|Numb=Sing|Gend=MascNeut|Deg=Sup
,	,	PUNC	MORPH=empty
inde	inde	ADV	Deg=Pos
in	in	PRE	MORPH=empty
omnis	omnis	PROind	Case=Acc|Numb=Plur|Gend=MascFem
partes	pars	NOMcom	Case=Acc|Numb=Plur
prospectum	prospectus	NOMcom	Case=Acc|Numb=Sing
aucupo	aucepus	NOMcom	Case=Abl|Numb=Sing
si	si2	CONsub	MORPH=empty
qua	quis2	PROind	Case=Nom|Numb=Sing|Gend=Fem
potestur	possum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
investigari	inuestigo	VER	Mood=Inf|Tense=Pres|Voice=Pass
via	uia	NOMcom	Case=Nom|Numb=Sing
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
ibi	ibi	ADV	Deg=Pos
sub	sub	PRE	MORPH=empty
eo	is	PROdem	Case=Abl|Numb=Sing|Gend=MascNeut
saxo	saxum	NOMcom	Case=Abl|Numb=Sing
penitus	penitus2	ADV	Deg=Pos
strata	sterno	VER	Case=Abl|Numb=Sing|Gend=Fem|Mood=Par|Tense=Perf|Voice=Pass
harena	arena	NOMcom	Case=Abl|Numb=Sing
ingens	ingens	ADJqua	Case=Nom|Numb=Sing|Gend=Com|Deg=Pos
specus	specus	NOMcom	Case=Nom|Numb=Sing
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
fugimus	fugio	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=1
qui	qui1	PROrel	Case=Nom|Numb=Plur|Gend=Masc
arte	ars	NOMcom	Case=Abl|Numb=Sing
hac	hic2	ADV	Case=Abl|Numb=Sing|Gend=Fem
vescimur	uescor	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Dep|Person=1
adiutamini	adiuto	VER	Numb=Plur|Mood=Imp|Tense=Pres|Voice=Dep|Person=2
et	et2	CONcoo	MORPH=empty
defendite	defendo	VER	Numb=Plur|Mood=Imp|Tense=Pres|Voice=Act|Person=2
atque	atque1	CONcoo	MORPH=empty
eccos	eccus	INJ	Case=Acc|Numb=Plur
unde	unde1	ADVrel	MORPH=empty
certiscent	certisco	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
inveni	inuenio	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1
,	,	PUNC	MORPH=empty
opino	opino	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
,	,	PUNC	MORPH=empty
Orestes	Orestes	NOMpro	Case=Nom|Numb=Sing
uter	uter3	PROint	Case=Nom|Numb=Sing|Gend=Masc
esset	sum1	VER	Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3
tamen	tamen	ADV	Deg=Pos
di	deus	NOMcom	Case=Nom|Numb=Plur
monerint	moneo	VER	Numb=Plur|Mood=Sub|Tense=Perf|Voice=Act|Person=3
meliora	bonus	ADJqua	Case=Acc|Numb=Plur|Gend=Neut|Deg=Comp
atque	atque1	CONcoo	MORPH=empty
amentiam	amentia	NOMcom	Case=Acc|Numb=Sing
averruncassint	auerrunco	VER	Numb=Plur|Mood=Sub|Tense=Pqp|Voice=Act|Person=3
tuam	tuus	PROpos	Case=Acc|Numb=Sing|Gend=Fem
!	!	PUNC	MORPH=empty
pro	pro1	PRE	MORPH=empty
merenda	mereor	VER	Case=Abl|Numb=Sing|Gend=Fem|Mood=Adj|Voice=Pass
gratia	gratia	NOMcom	Case=Abl|Numb=Sing
simul	simul1	ADV	Deg=Pos
cum	cum3	CONsub	MORPH=empty
videam	uideo	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=1
Graios	graius	ADJqua	Case=Acc|Numb=Plur|Gend=Masc|Deg=Pos
nihil	nihil	PROind	Case=Ind
mediocriter	mediocriter	ADV	Deg=Pos
redamptruare	redamotruo	VER	Mood=Inf|Tense=Pres|Voice=Act
opibusque	ops	NOMcom	Case=Abl|Numb=Plur
{opibusque}	que	CON	MORPH=empty
summis	superus	ADJqua	Case=Abl|Numb=Plur|Gend=Com|Deg=Sup
persequi	persequor	VER	Mood=Inf|Tense=Pres|Voice=Dep
atque	atque1	CONcoo	MORPH=empty
,	,	PUNC	MORPH=empty
ut	ut1	ADVrel	MORPH=empty
promeruit	promereo	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
pater	pater	NOMcom	Case=Nom|Numb=Sing
mihi	ego	PROper	Case=Dat|Numb=Sing
patriam	patria	NOMcom	Case=Acc|Numb=Sing
populavit	populo	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
meam	meus	PROpos	Case=Acc|Numb=Sing|Gend=Fem
perque	per	PRE	MORPH=empty
{perque}	que	CON	MORPH=empty
nostram	noster	PROpos	Case=Acc|Numb=Sing|Gend=Fem
egregiam	egregius	ADJqua	Case=Acc|Numb=Sing|Gend=Fem|Deg=Pos
unanimitatem	unanimitas	NOMcom	Case=Acc|Numb=Sing
quam	qui1	PROrel	MORPH=empty
memoria	memoria	NOMcom	Case=Abl|Numb=Sing
deiugat	deiugo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
set	sed	CONcoo	MORPH=empty
cesso	cesso	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
inimicitiam	inimicitia	NOMcom	Case=Acc|Numb=Sing
integrare	integro	VER	Mood=Inf|Tense=Pres|Voice=Act
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
cives	ciuis	NOMcom	Case=Nom|Numb=Plur
,	,	PUNC	MORPH=empty
antiqui	antiquus	ADJqua	Case=Nom|Numb=Plur|Gend=Masc|Deg=Pos
amici	amicus1	NOMcom	Case=Nom|Numb=Plur
maiorum	maiores	NOMcom	Case=Gen|Numb=Plur
meum	meus	PROpos	Case=Acc|Numb=Sing|Gend=MascNeut
,	,	PUNC	MORPH=empty
consilium	consilium	NOMcom	Case=Acc|Numb=Sing
socii	socius1	NOMcom	Case=Gen|Numb=Plur
,	,	PUNC	MORPH=empty
augurium	augurium	NOMcom	Case=Acc|Numb=Sing
atque	atque1	CONcoo	MORPH=empty
extum	extus	NOMcom	Case=Acc|Numb=Sing
interpretes	interpres	NOMcom	Case=Acc|Numb=Plur
,	,	PUNC	MORPH=empty
{	{	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
}	}	PUNC	MORPH=empty
postquam	postquam	CONsub	MORPH=empty
prodigium	prodigium	NOMcom	Case=Acc|Numb=Sing
horriferum	horrifer	ADJqua	Case=Acc|Numb=Sing|Gend=MascNeut|Deg=Pos
,	,	PUNC	MORPH=empty
portentum	portentum	NOMcom	Case=Acc|Numb=Sing
pavos	pauus	NOMcom	Case=Acc|Numb=Plur
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
nam	nam	CONcoo	MORPH=empty
isti	iste	PROdem	Case=Nom|Numb=Plur|Gend=Masc
qui	qui1	PROrel	Case=Nom|Numb=Plur|Gend=Masc
linguam	lingua	NOMcom	Case=Acc|Numb=Sing
avium	auis	NOMcom	Case=Gen|Numb=Plur
intellegunt	intelligo	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
plusque	multum	ADV	Deg=Comp
{plusque}	que	CON	MORPH=empty
ex	ex	PRE	MORPH=empty
alieno	alienus2	ADJqua	Case=Abl|Numb=Sing|Gend=MascNeut|Deg=Pos
iecore	iecur	NOMcom	Case=Abl|Numb=Sing
sapiunt	sapio	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
quam	quam1	ADVrel	MORPH=empty
ex	ex	PRE	MORPH=empty
suo	suum	NOMcom	Case=Abl|Numb=Sing|Gend=MascNeut
,	,	PUNC	MORPH=empty
magis	magis2	ADV	Deg=Comp
audiendum	audio	VER	Case=Acc|Numb=Sing|Gend=MascNeut|Mood=Adj|Voice=Pass
quam	quam1	ADVrel	MORPH=empty
auscultandum	ausculto	VER	Case=Acc|Numb=Sing|Gend=MascNeut|Mood=Adj|Voice=Pass
censeo	censeo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
Hoc	hic1	PROdem	Case=Acc|Numb=Sing|Gend=Neut
vide	uideo	VER	Numb=Sing|Mood=Imp|Tense=Pres|Voice=Act|Person=2
,	,	PUNC	MORPH=empty
circum	circum1	ADV	MORPH=empty
supraque	supra	PRE	Deg=Pos
{supraque}	que	CON	MORPH=empty
quod	qui1	PROrel	Case=Acc|Numb=Sing|Gend=Neut
complexu	complexus	NOMcom	Case=Abl|Numb=Sing
continet	contineo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
terram	terra	NOMcom	Case=Acc|Numb=Sing
;	;	PUNC	MORPH=empty
Id	is	PROdem	Case=Acc|Numb=Sing|Gend=Neut
quod	qui1	PROrel	Case=Acc|Numb=Sing|Gend=Neut
nostri	noster	PROpos	Case=Nom|Numb=Plur|Gend=MascNeut
caelum	caelum1	NOMcom	Case=Acc|Numb=Sing
memorant	memoro	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
Grai	Grai	NOMpro	Case=Nom|Numb=Plur
perhibent	perhibeo	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
æthera	aether	NOMcom	Case=Acc|Numb=Plur
Solisque	sol	PROind	Case=Gen|Numb=Plur|Gend=Com
{Solisque}	que	CON	MORPH=empty
exortu	exortus	NOMcom	Case=Abl|Numb=Sing
capessit	capesso	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
candorem	candor	NOMcom	Case=Acc|Numb=Sing
,	,	PUNC	MORPH=empty
occasu	occasus	NOMcom	Case=Abl|Numb=Sing
nigret	nigro	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
quidquid	quisquis1	PROrel	Case=Nom|Numb=Sing|Gend=Neut
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
hoc	hic1	PROdem	Case=Acc|Numb=Sing|Gend=Neut
,	,	PUNC	MORPH=empty
omnia	omnis	PROind	Case=Acc|Numb=Plur|Gend=Neut
animat	animo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
format	formo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
alit	alo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
auget	augeo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
creat	creo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
sepelit	sepelio	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
recipitque	recipio	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
{recipitque}	que	CON	MORPH=empty
in	in	PRE	MORPH=empty
sese	sui1	PROref	Case=Acc|Numb=Sing
omnia	omnis	PROind	Case=Acc|Numb=Plur|Gend=Neut
,	,	PUNC	MORPH=empty
omniumque	omnis	PROind	Case=Gen|Numb=Plur|Gend=Com
{omniumque}	que	CON	MORPH=empty
idemst	idem	PROdem	Case=Nom|Numb=Sing|Gend=Neut
{idemst}	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
pater	pater	NOMcom	Case=Nom|Numb=Sing
;	;	PUNC	MORPH=empty
indidemque	indidem	ADV	Deg=Pos
{indidemque}	que	CON	MORPH=empty
eadem	idem	PROdem	Case=Nom|Numb=Plur|Gend=Neut
æque	aeque	ADV	Deg=Pos
oriuntur	orior	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Dep|Person=3
de	de	PRE	MORPH=empty
integro	integer	ADJqua	Case=Abl|Numb=Sing|Gend=MascNeut|Deg=Pos
atque	atque1	CONcoo	MORPH=empty
eodem	eodem	ADV	Gend=MascNeut
occidunt	occido1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Mater	mater	NOMcom	Case=Nom|Numb=Sing
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
terra	terra	NOMcom	Case=Nom|Numb=Sing
:	:	PUNC	MORPH=empty
ea	is	PROdem	Case=Nom|Numb=Sing|Gend=Fem
parit	pario2	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
corpus	corpus	NOMcom	Case=Acc|Numb=Sing
animam	anima	NOMcom	Case=Acc|Numb=Sing
æther	aether	NOMcom	Case=Nom|Numb=Sing
adiugat	adiugo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
propemodum	propemodum	ADV	Deg=Pos
animus	animus	NOMcom	Case=Nom|Numb=Sing
conjectura	coniectura	NOMcom	Case=Abl|Numb=Sing
de	de	PRE	MORPH=empty
errore	error	NOMcom	Case=Abl|Numb=Sing
eius	is	PROdem	Case=Gen|Numb=Sing|Gend=Com
augurat	auguro	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
ossuum	ossus	NOMcom	Case=Acc|Numb=Sing
inhumatum	inhumatus	ADJqua	Case=Acc|Numb=Sing|Gend=MascNeut|Deg=Pos
æstuosam	aestuosus	ADJqua	Case=Acc|Numb=Sing|Gend=Fem|Deg=Pos
auram	aura	NOMcom	Case=Acc|Numb=Sing
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
delphos	Delphi	NOMpro	Case=Acc|Numb=Plur
venum	uenum	NOMcom	Case=Acc|Numb=Sing
pecus	pecus1	NOMcom	Case=Acc|Numb=Sing
egi	ago	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1
,	,	PUNC	MORPH=empty
unde	unde1	ADVrel	MORPH=empty
ad	ad2	PRE	MORPH=empty
stabula	stabulum	NOMcom	Case=Acc|Numb=Plur
hæc	hic1	PROdem	Case=Acc|Numb=Plur|Gend=Neut
itiner	iter	NOMcom	Case=Nom|Numb=Sing
contuli	confero	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1
gnatam	nata	NOMcom	Case=Acc|Numb=Sing
despondit	despondeo	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
nuptiis	nuptiae	NOMcom	Case=Dat|Numb=Plur
hanc	hic1	PROdem	Case=Acc|Numb=Sing|Gend=Fem
dat	do	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
diem	dies	NOMcom	Case=Acc|Numb=Sing
hymenæum	hymenaeus	NOMcom	Case=Acc|Numb=Sing
fremunt	fremo	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
æquales	aequalis1	NOMcom	Case=Nom|Numb=Plur|Deg=Pos
,	,	PUNC	MORPH=empty
aula	aula1	NOMcom	Case=Nom|Numb=Sing
resonit	resono1	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
crepitu	crepitus	NOMcom	Case=Abl|Numb=Sing
musico	musicus1	NOMcom	Case=Abl|Numb=Sing
Nonne	nonne	ADVint	Deg=Pos
officium	officium	NOMcom	Case=Acc|Numb=Sing
fungar	fungor	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=1
vulgi	uulgus	NOMcom	Case=Gen|Numb=Sing
,	,	PUNC	MORPH=empty
atque	atque1	CONcoo	Deg=Pos
ægre	aegre	ADV	Deg=Pos
malefactum	malefactum	NOMcom	Case=Acc|Numb=Sing
feram	fero	VER	Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=1
?	?	PUNC	MORPH=empty
pater	pater	NOMcom	Case=Nom|Numb=Sing
Achivos	Achiui	NOMpro	Case=Acc|Numb=Plur
in	in	PRE	MORPH=empty
Capherei	Caphareus	NOMpro	Case=Gen|Numb=Sing
saxis	saxum	NOMcom	Case=Abl|Numb=Plur
pleros	plerus	ADJqua	Case=Acc|Numb=Plur|Gend=Masc|Deg=Pos
perdidit	perdo	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
.	.	PUNC	MORPH=empty
primum	primum	ADJadv.ord	Deg=Sup
hoc	hic1	PROdem	Case=Acc|Numb=Sing|Gend=Neut
abs	ab	PRE	MORPH=empty
te	tu	PROper	Case=Acc|Numb=Sing
oro	oro	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
,	,	PUNC	MORPH=empty
ni	ni2	CONsub	MORPH=empty
inexorabilem	inexorabilis	ADJqua	Case=Acc|Numb=Sing
Faxis	facio	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2
,	,	PUNC	MORPH=empty
ni	ni2	CONsub	MORPH=empty
turpassis	turpassus	VER	Numb=Plur|Gend=Com|Mood=Ind|Tense=Pres|Voice=Act|Person=2
vanitudine	uanitudo	NOMcom	Case=Abl|Numb=Sing
ætatem	aetas	NOMcom	Case=Acc|Numb=Sing
tuam	tuus	PROpos	Case=Acc|Numb=Sing|Gend=Fem
oro	oro	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
,	,	PUNC	MORPH=empty
†	†	PUNC	MORPH=empty
mi	ego	PROper	Case=Dat|Numb=Sing
†	†	PUNC	MORPH=empty
ne	ne4	CONsub	MORPH=empty
flectas	flecto	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=2
fandi	for	VER	Numb=Sing
